surface_form	normalized_form	segmentation	alt_segmentations	gloss	lemma	alt_lemmas	pos	alt_pos	confidence	first_verse	frequency	review_reasons	status
khualmi	khualmi	khual-mi	khual-mi'	sojourn-person	khual		V		high	01023004	33	multi_segmentation:2	auto_resolved
thuah	thuah	thuah		gird	thuah		UNK		high	01024025	33	pos_unknown	low_priority
mudahte	mudahte	mudahte'	muhdah-te	easy-PL.POSS	mudahte	muhdah	UNK	V	high	01024060	33	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V|pos_unknown	low_priority
meikhuk	meikhuk	meikhuk	Meikhuk	furnace	meikhuk		N		high	03006009	33	multi_segmentation:2	auto_resolved
lenin	lenin	len-in		net-ERG	len		UNK		high	03018004	33	pos_unknown	low_priority
dawite	dawite	dawi-te	dawi-te'	demon-PL	dawi		UNK		high	05032017	33	multi_segmentation:2|pos_unknown	low_priority
Uriah	uriah	Uriah'	Uriah	URIAH.POSS	uriah	Uriah	UNK	PROP	high	10011003	33	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	low_priority
Sheba	sheba	Sheba	Sheba'	SHEBA	Sheba	sheba	PROP	UNK	high	01010007	32	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Thawl	thawl	Thawl	thawl	bottle	thawl		N		high	01021015	32	multi_segmentation:2	auto_resolved
hua	hua	hua	Hua	garden	hua		V		high	01022005	32	multi_segmentation:2	auto_resolved
sanah	sanah	sanah		in.front	sanah		UNK		high	01027016	32	pos_unknown	low_priority
Mangbuh	mangbuh	Mangbuh	mangbuh	barley	mangbuh		N		high	01030014	32	multi_segmentation:2	auto_resolved
piangte	piangte	piang-te	piangte'	be.born-PL	piang	piangte	V	UNK	high	01036016	32	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	low_priority
honpa	honpa	hon-pa	Honpa|hon-pa'	flock-father	hon	Honpa	V	PROP	high	07003015	32	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|V	low_priority
mawhnei	mawhnei	mawhnei	Mawhnei	sinner	mawhnei		N		high	09015018	32	multi_segmentation:2	auto_resolved
Abiathar	abiathar	Abiathar	Abiathar'	ABIATHAR	Abiathar	abiathar	PROP	UNK	high	09022020	32	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
lasate	lasate	lasa-te	Lasate|lasate'	pillar-PL	lasa	Lasate|lasate	N	PROP|UNK	high	11010012	32	multi_segmentation:3|multi_lemma:3|multi_pos:N|PROP|UNK	low_priority
Seir	seir	Seir	Seir'	SEIR	Seir	seir	PROP	UNK	high	01014006	31	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
khuate	khuate	khua-te	khuate'	town-PL	khua	khuate	N	UNK	high	01019024	31	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	low_priority
Rebekah	rebekah	Rebekah'	Rebekah	REBEKAH.POSS	rebekah	Rebekah	UNK	PROP	high	01022023	31	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	low_priority
kalaoh	kalaoh	kalaoh	Kalaoh	camel	kalaoh		N		high	01024032	31	multi_segmentation:2	auto_resolved
“Mite	“mite	Mite	Mite'	MITE	mite		UNK		high	01043016	31	multi_segmentation:2|pos_unknown	low_priority
muvanlai	muvanlai	mu-van-lai	Muvanlai	see.I-sky-middle	mu	Muvanlai	V	PROP	high	02019004	31	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	low_priority
lailai	lailai	lai~lai		middle~REDUP	lai~lai		UNK		high	04014011	31	pos_unknown	low_priority
Gath	gath	Gath		GATH	Gath	gath	PROP	UNK	high	06011022	31	multi_lemma:2|multi_pos:PROP|UNK	low_priority
lungnopna	lungnopna	lung-nop-na	Lungnopna	desire	lung	Lungnopna	V	PROP	high	07008028	31	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	low_priority
miliante	miliante	mi-lian-te'	mi-lian-te	person-great-PL.POSS	mi		N		high	10007009	31	multi_segmentation:2	auto_resolved
Gedaliah	gedaliah	Gedaliah	Gedaliah'	GEDALIAH	Gedaliah	gedaliah	PROP	UNK	high	12025022	31	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
sunin	sunin	sun-in		night-ERG	sun		UNK		high	01001026	30	pos_unknown	low_priority
sate	sate	sa-te	sate'	flesh-PL	sa	sate	N	UNK	high	01002023	30	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	low_priority
zahzah	zahzah	zah~zah		fear~REDUP	zah~zah		UNK		high	01009010	30	pos_unknown	low_priority
u	u	u	u'	elder.sibling	u		V		high	01010021	30	multi_segmentation:2	auto_resolved
tawsaw	tawsaw	tawsaw	Tawsaw	oak	tawsaw		N		high	01012006	30	multi_segmentation:2	auto_resolved
tumin	tumin	tum-in		all-ERG	tum		UNK		high	01015017	30	pos_unknown	low_priority
sukin	sukin	suk-in		DOWN-ERG	suk		UNK		high	01017017	30	pos_unknown	low_priority
gamlapi-ah	gamlapi-ah	gamlapi-ah		wilderness-LOC	gamlapi		UNK		high	01030036	30	pos_unknown	low_priority
tuumul	tuumul	tuumul	Tuumul	barley	tuumul		N		high	01031019	30	multi_segmentation:2	auto_resolved
unau	unau	u-nau	unau'	elder-younger	u	unau	V	N	high	01049005	30	multi_segmentation:2|multi_lemma:2|multi_pos:N|V	low_priority
do-in	do-in	do-in		rise-ERG	do		UNK		high	02001010	30	pos_unknown	low_priority
salsuahna	salsuahna	sal-suah-na	Salsuahna	servant-become-NMLZ	sal	Salsuahna	N	PROP	high	02002023	30	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	low_priority
kisung	kisung	ki-sung		REFL-inside	sung		UNK		high	02030032	30	pos_unknown	low_priority
kilehkik	kilehkik	kileh-kik		return-ITER	kileh		UNK		high	05017016	30	pos_unknown	low_priority
zelzel	zelzel	zel~zel		return~REDUP	zel~zel		UNK		high	09003021	30	pos_unknown	low_priority
Leinuai	leinuai	Leinuai	Leinuai'|leinuai	hell	leinuai		N		high	10022006	30	multi_segmentation:3	auto_resolved
Shafan	shafan	Shafan	Shafan'	SHAFAN	Shafan	shafan	PROP	UNK	high	12022003	30	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Timoti	timoti	Timoti	Timoti'	TIMOTI	Timoti	timoti	PROP	UNK	high	44016001	30	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
kila	kila	ki-la		REFL-take	la		UNK		high	01012015	29	pos_unknown	low_priority
kitel	kitel	ki-tel		REFL-each	tel		UNK		high	01015013	29	pos_unknown	low_priority
su	su	su		tear	su		UNK		high	01022012	29	pos_unknown	low_priority
dahin	dahin	dah-in	Dahin	put-ERG	dah	Dahin	UNK	PROP	high	01023002	29	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	low_priority
kongpi-ah	kongpi-ah	kongpi-ah		road.big-LOC	kongpi		UNK		high	01034020	29	pos_unknown	low_priority
kileh	kileh	ki-leh		REFL-and	leh		UNK		high	01044013	29	pos_unknown	low_priority
“Judah	“judah	Judah		JUDAH	judah		UNK		high	01049008	29	pos_unknown	low_priority
kipak	kipak	ki-pak		REFL-rejoice	pak		UNK		high	02004014	29	pos_unknown	low_priority
gialpi	gialpi	gial-pi	gial-pi'	spotted-big	gial		N		high	02009018	29	multi_segmentation:2	auto_resolved
baihsa-in	baihsa-in	baihsa-in		already-ERG	baihsa		UNK		high	02019011	29	pos_unknown	low_priority
khate	khate	khat-te	khate'	one-PL	khat	khate	N	UNK	high	02025020	29	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	low_priority
mawkmawk	mawkmawk	mawk~mawk		vain~REDUP	mawk~mawk		UNK		high	03004027	29	pos_unknown	low_priority
sepnate	sepnate	sep-na-te	sep-na-te'	work-NMLZ-PL	sep		V		high	05011003	29	multi_segmentation:2	auto_resolved
leiba	leiba	leiba	Leiba	debt	leiba		N		high	05015001	29	multi_segmentation:2	auto_resolved
Jefthah	jefthah	Jefthah	Jefthah'	JEFTHAH	Jefthah	jefthah	PROP	UNK	high	07011001	29	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Boaz	boaz	Boaz	Boaz'	BOAZ	Boaz	boaz	PROP	UNK	high	08002001	29	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Samaria-ah	samaria-ah	samaria-ah		SAMARIA-LOC	samaria		UNK		high	11016028	29	pos_unknown	low_priority
Jonah	jonah	Jonah'	Jonah	JONAH.POSS	jonah	Jonah	UNK	PROP	high	12014025	29	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	low_priority
Hilkiah	hilkiah	Hilkiah'	Hilkiah	HILKIAH.POSS	hilkiah	Hilkiah	UNK	PROP	high	12018018	29	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	low_priority
singgah	singgah	singgah		hang	singgah		UNK		high	01001011	28	pos_unknown	low_priority
pha-in	pha-in	pha-in		branch-ERG	pha		UNK		high	01001022	28	pos_unknown	low_priority
“Kua	“kua	Kua	Kua'	who	kua		FUNC		high	01021026	28	multi_segmentation:2	auto_resolved
meima	meima	meima		wound	meima		UNK		high	01034025	28	pos_unknown	low_priority
Tamar	tamar	Tamar	Tamar'	TAMAR	Tamar	tamar	PROP	UNK	high	01038006	28	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
lianpite	lianpite	lianpi-te	lianpite'	army-PL	lianpi	lianpite	N	UNK	high	02007004	28	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	low_priority
khuampeek	khuampeek	khuampeek		cubit	khuampeek		UNK		high	02026016	28	pos_unknown	low_priority
kite	kite	ki-te		REFL-PL	te		UNK		high	02027002	28	pos_unknown	low_priority
thaute	thaute	thau-te	thaute'	fat-PL	thau	thaute	N	UNK	high	03001008	28	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	low_priority
kisiansuah	kisiansuah	ki-siansuah		sanctify	siansuah		UNK		high	04031019	28	pos_unknown	low_priority
khauhtakin	khauhtakin	khauh-tak-in		strong-true-ERG	khauh		UNK		high	06023005	28	pos_unknown	low_priority
Jotham	jotham	Jotham	Jotham'	JOTHAM	Jotham	jotham	PROP	UNK	high	07009005	28	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Jehoram	jehoram	Jehoram	Jehoram'	JEHORAM	Jehoram	jehoram	PROP	UNK	high	09001001	28	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
“David	“david	David	David'	DAVID	david		UNK		high	09018022	28	multi_segmentation:2|pos_unknown	low_priority
Baasha	baasha	Baasha	Baasha'	BAASHA	Baasha	baasha	PROP	UNK	high	11015016	28	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Hananiah	hananiah	Hananiah	Hananiah'	HANANIAH	Hananiah	hananiah	PROP	UNK	high	13003019	28	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Ahasueras	ahasueras	Ahasueras	Ahasueras'	AHASUERAS	Ahasueras	ahasueras	PROP	UNK	high	15004006	28	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Lei-ah	lei-ah	lei-ah		buy-LOC	lei		UNK		high	01003019	27	pos_unknown	low_priority
nawi	nawi	nawi	Nawi	butter	nawi		N		high	01021007	27	multi_segmentation:2	auto_resolved
gol	gol	gol		divide	gol		UNK		high	01038011	27	pos_unknown	low_priority
piapa	piapa	pia-pa	pia-pa'	give-M	pia		V		high	01040001	27	multi_segmentation:2	auto_resolved
Merari	merari	Merari	Merari'	MERARI	Merari	merari	PROP	UNK	high	01046011	27	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
sawp	sawp	sawp		wrap	sawp		UNK		high	01049011	27	pos_unknown	low_priority
hei	hei	hei		path	hei		UNK		high	02023002	27	pos_unknown	low_priority
Abijah	abijah	Abijah	Abijah'	ABIJAH	Abijah	abijah	PROP	UNK	high	09008002	27	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Adonijah	adonijah	Adonijah	Adonijah'	ADONIJAH	Adonijah	adonijah	PROP	UNK	high	10003004	27	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Jeshua	jeshua	Jeshua	Jeshua'	JESHUA	Jeshua	jeshua	PROP	UNK	high	13024011	27	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
tote	tote	to-te	tote'	lord-PL	to	tote	V	UNK	high	01018003	26	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	low_priority
gitloh	gitloh	gitloh	Gitloh	wick	gitloh		N		high	01019007	26	multi_segmentation:2	auto_resolved
zekai	zekai	zekai	Zekai	tarry	zekai		N		high	01034019	26	multi_segmentation:2	auto_resolved
sungpa	sungpa	sung-pa	sungpa'	inside-M	sung	sungpa	N		high	02003001	26	multi_segmentation:2|multi_lemma:2	low_priority
huhpa	huhpa	huhpa	Huhpa|huh-pa'	helper	huhpa	huh	V		high	02018004	26	multi_segmentation:3|multi_lemma:2	low_priority
pekah	pekah	pekah	Pekah|Pekah'	PEKAH	pekah	Pekah	UNK	PROP	high	02033007	26	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	low_priority
phu	phu	phu		carry	phu		UNK		high	03019018	26	pos_unknown	low_priority
kikhop	kikhop	ki-khop		assemble	khop		UNK		high	03023021	26	pos_unknown	low_priority
Vanglianpa	vanglianpa	vanglian-pa'	vanglian-pa	almighty-NMLZ.M.POSS	vanglian		N		high	04024004	26	multi_segmentation:2	auto_resolved
zumah	zumah	zum-ah		bow-LOC	zum		UNK		high	05025001	26	pos_unknown	low_priority
tulak	tulak	tulak	Tulak	forest	tulak		V		high	06017018	26	multi_segmentation:2	auto_resolved
galvil	galvil	galvil	Galvil	war.camp	galvil		N		high	07007019	26	multi_segmentation:2	auto_resolved
Filistia-pa	filistia-pa	Filistia-pa	Filistia-pa'	FILISTIA-PA	Filistia-Pa	filistia	PROP	N	high	09017016	26	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	low_priority
Zeruiah	zeruiah	Zeruiah	Zeruiah'	ZERUIAH	Zeruiah	zeruiah	PROP	UNK	high	09026006	26	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Abishai	abishai	Abishai	Abishai'	ABISHAI	Abishai	abishai	PROP	UNK	high	09026006	26	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
keng	keng	keng		only	keng		UNK		high	11014003	26	pos_unknown	low_priority
Benhadad	benhadad	Benhadad	Benhadad'	BENHADAD	Benhadad	benhadad	PROP	UNK	high	11015018	26	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Hazael	hazael	Hazael	Hazael'	HAZAEL	Hazael	hazael	PROP	UNK	high	11019015	26	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
“Jerusalem	“jerusalem	Jerusalem		JERUSALEM	jerusalem		UNK		high	12018022	26	pos_unknown	low_priority
teekteekin	teekteekin	teekteek-in		god-CVB	teekteek		UNK		high	01007013	25	pos_unknown	low_priority
sangte	sangte	sang-te	Sangte	high-PL	sang	Sangte	N	PROP	high	01007019	25	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	low_priority
ing,”	ing,”	ing		be.able	ing		UNK		high	01022001	25	pos_unknown	low_priority
(Tua	(tua	Tua	tua	that	tua		FUNC		high	01025030	25	multi_segmentation:2	auto_resolved
daitui	daitui	daitui	Daitui	dew	daitui		N		high	01027028	25	multi_segmentation:2	auto_resolved
nakpi	nakpi	nakpi	Nakpi	night	nakpi		N		high	01027034	25	multi_segmentation:2	auto_resolved
langpan	langpan	lang-pan'	lang-pan	advocate.POSS	lang		N		high	01027040	25	multi_segmentation:2	auto_resolved
kaihkhop	kaihkhop	kaih-khop		gather-together	kaih		UNK		high	01029007	25	pos_unknown	low_priority
nangmahmah	nangmahmah	nangmahmah	Nangmahmah	2SG.EMPH.REDUP	nangmahmah		FUNC		high	01030029	25	multi_segmentation:2	auto_resolved
“Eite	“eite	Eite	Eite'	1PL.PRO	eite		FUNC		high	01031049	25	multi_segmentation:2	auto_resolved
“Hihte	“hihte	Hihte		HIHTE	hihte		UNK		high	01032002	25	pos_unknown	low_priority
Zerah	zerah	Zerah	Zerah'	ZERAH	Zerah	zerah	PROP	UNK	high	01036013	25	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
lua-in	lua-in	lua-in		exceed-ERG	lua		UNK		high	02001009	25	pos_unknown	low_priority
gawh	gawh	gawh		touch	gawh		UNK		high	02012006	25	pos_unknown	low_priority
kawng	kawng	kawng		road	kawng		UNK		high	02012011	25	pos_unknown	low_priority
nengniam	nengniam	neng-niam		stranger-oppress	neng		UNK		high	02022021	25	pos_unknown	low_priority
bup	bup	bup		all	bup		UNK		high	02026006	25	pos_unknown	low_priority
Sisera	sisera	Sisera	Sisera'	SISERA	Sisera	sisera	PROP	UNK	high	07004002	25	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Hiram	hiram	Hiram	Hiram'	HIRAM	Hiram	hiram	PROP	UNK	high	10005011	25	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
gum	gum	gum	Gum	pit	gum		N		high	10020011	25	multi_segmentation:2	auto_resolved
Darias	darias	Darias	Darias'	DARIAS	Darias	darias	PROP	UNK	high	15004005	25	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
kisialhpih	kisialhpih	kisialh-pih		glory-APPL	kisialh		UNK		high	19094004	25	pos_unknown	low_priority
gahte	gahte	gah-te	gahte'	fruit-PL	gah	gahte	UNK		high	01001012	24	multi_segmentation:2|multi_lemma:2|pos_unknown	low_priority
nungakte	nungakte	nungak-te	nungakte'	girl-PL	nungak	nungakte	N	UNK	high	01024013	24	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	low_priority
bawng	bawng	bawng	Bawng	cattle	bawng		N		high	01031018	24	multi_segmentation:2	auto_resolved
“Egypt	“egypt	Egypt	Egypt'	EGYPT	egypt		UNK		high	01041041	24	multi_segmentation:2|pos_unknown	low_priority
Makhir	makhir	Makhir'	Makhir	MAKHIR.POSS	makhir	Makhir	UNK	PROP	high	01050023	24	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	low_priority
(Bang	(bang	Bang	bang	like	bang		FUNC		high	02018001	24	multi_segmentation:2	auto_resolved
sumgolh	sumgolh	sum-golh	sum-golh'	money-desire	sum		N		high	02018021	24	multi_segmentation:2	auto_resolved
khual	khual	khual	Khual	sojourn	khual		V		high	02022021	24	multi_segmentation:2	auto_resolved
gingte	gingte	ging-te	gingte'	gong-PL	ging	gingte	UNK		high	02028035	24	multi_segmentation:2|multi_lemma:2|pos_unknown	low_priority
thatte	thatte	that-te	thatte'	kill-PL	that	thatte	V	UNK	high	04031019	24	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	low_priority
zum	zum	zum		bow	zum		UNK		high	07003031	24	pos_unknown	low_priority
Ahijah	ahijah	Ahijah	Ahijah'	AHIJAH	Ahijah	ahijah	PROP	UNK	high	09014003	24	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
thokik	thokik	tho-kik		arise-ITER	tho		UNK		high	10022039	24	pos_unknown	low_priority
Nebat	nebat	Nebat'		NEBAT.POSS	nebat		UNK		high	11011026	24	pos_unknown	low_priority
Jezebel	jezebel	Jezebel	Jezebel'	JEZEBEL	Jezebel	jezebel	PROP	UNK	high	11016031	24	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Shallum	shallum	Shallum	Shallum'	SHALLUM	Shallum	shallum	PROP	UNK	high	12015010	24	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Meshullam	meshullam	Meshullam'	Meshullam	MESHULLAM.POSS	meshullam	Meshullam	UNK	PROP	high	12022003	24	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	low_priority
Jehoiakhin	jehoiakhin	Jehoiakhin	Jehoiakhin'	JEHOIAKHIN	Jehoiakhin	jehoiakhin	PROP	UNK	high	12024006	24	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Johanan	johanan	Johanan	Johanan'	JOHANAN	Johanan	johanan	PROP	UNK	high	12025023	24	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Silas	silas	Silas	Silas'	SILAS	Silas	silas	PROP	UNK	high	44015022	24	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
pahpah	pahpah	pah~pah		immediately~REDUP	pah~pah		UNK		high	01002019	23	pos_unknown	low_priority
Kain	kain	Kain	Kain'	KAIN	Kain	kain	PROP	UNK	high	01004001	23	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Aram	aram	Aram	Aram'	ARAM	Aram	aram	PROP	UNK	high	01010022	23	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Shelah	shelah	Shelah	Shelah'	SHELAH	Shelah	shelah	PROP	UNK	high	01010024	23	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
ngate	ngate	ngate	ngate'	those	ngate		UNK		high	01014002	23	multi_segmentation:2|pos_unknown	low_priority
bawngte	bawngte	bawng-te	bawngte'	cattle-PL	bawng	bawngte	N	UNK	high	01033013	23	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	low_priority
lawmpa	lawmpa	lawm-pa	lawm-pa'	worthy-NMLZ.AG	lawm		N		high	01038020	23	multi_segmentation:2	auto_resolved
Hezron	hezron	Hezron	Hezron'	HEZRON	Hezron	hezron	PROP	UNK	high	01046009	23	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
kikhawmin	kikhawmin	kikhawm-in		gather-ERG	kikhawm		UNK		high	01049002	23	pos_unknown	low_priority
numeino	numeino	numei-no	numei-no'	woman-young	numei		N		high	02002008	23	multi_segmentation:2	auto_resolved
Nadab	nadab	Nadab	Nadab'	NADAB	Nadab	nadab	PROP	UNK	high	02006023	23	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Finehas	finehas	Finehas	Finehas'	FINEHAS	Finehas	finehas	PROP	UNK	high	02006025	23	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
nuh	nuh	nuh		mother	nuh		UNK		high	02012007	23	pos_unknown	low_priority
kiging	kiging	ki-ging		REFL-sound	ging		UNK		high	02012039	23	pos_unknown	low_priority
kiling	kiling	ki-ling		REFL-shake	ling		UNK		high	02019018	23	pos_unknown	low_priority
gak	gak	gak		trap	gak		UNK		high	02025026	23	pos_unknown	low_priority
haite	haite	hai-te	haite'	cup-PL	hai	haite	N	UNK	high	02025031	23	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	low_priority
kol	kol	kol	Kol	loose	kol		N		high	02028028	23	multi_segmentation:2	auto_resolved
“Israel-te	“israel-te	Israel-te'	Israel-te	ISRAEL-TE.POSS	israel		UNK		high	02032027	23	multi_segmentation:2|pos_unknown	low_priority
hak	hak	hak		INTENS	hak		UNK		high	04014016	23	pos_unknown	low_priority
khawlin	khawlin	khawl-in		rest-ERG	khawl		UNK		high	06003016	23	pos_unknown	low_priority
galkapmangte	galkapmangte	galkap-mang-te	galkap-mang-te'	soldier-chief-PL	galkap		N		high	06010024	23	multi_segmentation:2	auto_resolved
Benjamin-te	benjamin-te	Benjamin-te'	benjamin-te	BENJAMIN-TE.POSS	benjamin		UNK		high	07019014	23	multi_segmentation:2|pos_unknown	low_priority
tuihualte	tuihualte	tuihual-te		flood-PL	tuihual		UNK		high	10022005	23	pos_unknown	low_priority
kiphasakte	kiphasakte	ki-phasa-te	ki-phasa-te'	REFL-bless-PL	phasa		UNK		high	10022028	23	multi_segmentation:2|pos_unknown	low_priority
kilo	kilo	ki-lo		REFL-NEG	lo		UNK		high	11008043	23	pos_unknown	low_priority
Mikaiah	mikaiah	Mikaiah	Mikaiah'	MIKAIAH	Mikaiah	mikaiah	PROP	UNK	high	11022008	23	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Jehoahaz	jehoahaz	Jehoahaz	Jehoahaz'	JEHOAHAZ	Jehoahaz	jehoahaz	PROP	UNK	high	12010035	23	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Zerubbabel	zerubbabel	Zerubbabel	Zerubbabel'	ZERUBBABEL	Zerubbabel	zerubbabel	PROP	UNK	high	13003019	23	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
Maaseiah	maaseiah	Maaseiah	Maaseiah'	MAASEIAH	Maaseiah	maaseiah	PROP	UNK	high	13015018	23	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
zahtakte	zahtakte	zahtak-te	zahtakte'	honor-PL	zahtak	zahtakte	V	UNK	high	19015004	23	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	low_priority
ihmut	ihmut	ihmut		deep.sleep	ihmut		UNK		high	01002021	22	pos_unknown	low_priority
phel	phel	phel	Phel	clear	phel		V		high	01015010	22	multi_segmentation:2	auto_resolved
gunpi	gunpi	gunpi	Gunpi	river	gunpi		N		high	01015018	22	multi_segmentation:2	auto_resolved
peuhah	peuhah	peuh-ah		own-LOC	peuh		UNK		high	01028015	22	pos_unknown	low_priority
tuucingte	tuucingte	tuucing-te	Tuucingte'|tuucingte'	shepherd-PL	tuucing	tuucingte	N	UNK	high	01029003	22	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	low_priority
gingin	gingin	gin~gin		hear~REDUP	gin~gin		UNK		high	01029011	22	pos_unknown	low_priority
vom	vom	vom	Vom	black	vom		N		high	01030032	22	multi_segmentation:2	auto_resolved
keeltal	keeltal	keel-tal	Keeltal	heel-bare	keel	Keeltal	N	PROP	high	01030035	22	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	low_priority
makaih	makaih	makaih	Makaih	leader	makaih		N		high	01033014	22	multi_segmentation:2	auto_resolved
mangte	mangte	mang-te	mangte'	chief-PL	mang	mangte	N	UNK	high	01037008	22	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	low_priority
balkek	balkek	bal-kek		owe-rend	bal		UNK		high	01037029	22	pos_unknown	low_priority
leengpeite	leengpeite	leeng-pei-te	leeng-pei-te'	chariot-chief-PL	leeng		N		high	02014025	22	multi_segmentation:2	auto_resolved
kitum	kitum	ki-tum		REFL-all	tum		UNK		high	02019013	22	pos_unknown	low_priority
kawnggak	kawnggak	kawng-gak		road-girdle	kawng		UNK		high	02028004	22	pos_unknown	low_priority
kizo	kizo	ki-zo		REFL-COMPL	zo		UNK		high	02031015	22	pos_unknown	low_priority
guta	guta	guta	Guta	destroyer	guta		V		high	03019011	22	multi_segmentation:2	auto_resolved
mittang	mittang	mit-tang	Mittang|mit-tang'	eye-force	mit	Mittang	N	PROP	high	03024020	22	multi_segmentation:3|multi_lemma:2|multi_pos:N|PROP	low_priority
jubilee	jubilee	jubilee	Jubilee	jubilee	jubilee		N		high	03025010	22	multi_segmentation:2	auto_resolved
gilote	gilote	gilo-te	gilote'	enemy-PL	gilo	gilote	UNK		high	03026006	22	multi_segmentation:2|multi_lemma:2|pos_unknown	low_priority
Eliab	eliab	Eliab	Eliab'	ELIAB	Eliab	eliab	PROP	UNK	high	04001009	22	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	low_priority
