surface_form	normalized_form	segmentation	alt_segmentations	gloss	lemma	alt_lemmas	pos	alt_pos	confidence	first_verse	frequency	review_reasons	status
Buz-te	buz-te	buz-te		BUZ-PL	buz		UNK		high	18032002	2	pos_unknown	auto_resolved
Barakhel	barakhel	Barakhel'		BARAKHEL.POSS	barakhel		UNK		high	18032002	2	pos_unknown	auto_resolved
ngaingai	ngaingai	ngai~ngai		listen.I~REDUP	ngai~ngai		UNK		high	18032011	2	pos_unknown	auto_resolved
“Lei	“lei	lei		buy	lei		UNK		high	18038008	2	pos_unknown	auto_resolved
taanglua	taanglua	taang-lua		poor-exceed	taang		UNK		high	18038015	2	pos_unknown	auto_resolved
“Vana	“vana	Vana		VANA	vana		UNK		high	18038031	2	pos_unknown	auto_resolved
lei-a	lei-a	lei-a		buy-LOC	lei		UNK		high	18038033	2	pos_unknown	auto_resolved
hathat	hathat	hat~hat		strong~REDUP	hat~hat		UNK		high	18039025	2	pos_unknown	auto_resolved
“Awle	“awle	Awle		AWLE	awle		UNK		high	18041009	2	pos_unknown	auto_resolved
dandan	dandan	dan~dan		dan~REDUP	dan~dan		UNK		high	18041032	2	pos_unknown	auto_resolved
nainai	nainai	nai~nai		hour~REDUP	nai~nai		UNK		high	19003001	2	pos_unknown	auto_resolved
sucipin	sucipin	su-cip-in		crush-tight-ERG	su		UNK		high	19010010	2	pos_unknown	auto_resolved
lungnemte	lungnemte	lung-nem-te'	lung-nem-te	heart-soft-PL.POSS	lung		V		high	19010017	2	multi_segmentation:2	auto_resolved
